year_month,transacciones_en_festivo,gasto_en_festivo,total_transacciones,pct_transacciones_festivo
2015-12,0,0.0,1,0.0
2016-01,0,0.0,13,0.0
2016-02,0,0.0,11,0.0
2016-03,0,0.0,12,0.0
2016-04,0,0.0,9,0.0
2016-05,0,0.0,11,0.0
2016-06,0,0.0,7,0.0
2016-07,0,0.0,8,0.0
2016-08,0,0.0,14,0.0
2016-09,2,23.24,33,6.06
2016-10,0,0.0,26,0.0
2016-11,0,0.0,17,0.0
2016-12,0,0.0,25,0.0
2025-03,0,0.0,3,0.0
2025-04,0,0.0,1,0.0
2025-05,1,0.0,16,6.25
2025-06,74,4612.86,973,7.61
2025-07,77,4548.28,1474,5.22
2025-08,0,0.0,26,0.0
2025-09,0,0.0,1,0.0
